ROOM_014
CrossPlatformDesktopProject.Obstacles.Block,2,2,CrossPlatformDesktopProject.Obstacles.Block,2,3
CrossPlatformDesktopProject.Obstacles.Block,2,10,CrossPlatformDesktopProject.Obstacles.Block,2,11
CrossPlatformDesktopProject.Obstacles.Block,6,2,CrossPlatformDesktopProject.Obstacles.Block,6,3
CrossPlatformDesktopProject.Obstacles.Block,6,10,CrossPlatformDesktopProject.Obstacles.Block,6,11
CrossPlatformDesktopProject.Obstacles.Block,4,6,CrossPlatformDesktopProject.Obstacles.Block,4,7
CrossPlatformDesktopProject.Obstacles.DoorBlock,4,0,CrossPlatformDesktopProject.Obstacles.DoorBlock,4,13
CrossPlatformDesktopProject.Obstacles.DoorBlock,0,6,CrossPlatformDesktopProject.Obstacles.DoorBlock,0,7
CrossPlatformDesktopProject.NPC.Gel,1,3,CrossPlatformDesktopProject.NPC.Gel,1,8,CrossPlatformDesktopProject.NPC.Gel,3,4
CrossPlatformDesktopProject.NPC.Gel,6,4
CrossPlatformDesktopProject.WorldItem.Heart,1,7 
